Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.93,3.35,845,8.49,31.205,10.705,66.361,30.959,62.779,3.8,90.2
Belgium,4.89,3.48,883,5.32,6.004,4.8,7.332,6.71,78.553,5.6,91.8
Bulgaria,2.35,1.19,303,2.13,13.928,1.498,12.358,24.334,40.146,66.5,117.4
Croatia,2.06,1.68,645,4.81,25.103,1.123,37.521,32.881,46.693,8.3,96.5
Cyprus,3.22,2.33,406,6.59,6.161,1.994,1.39,18.813,100.636,27.3,103.9
Czechia,4.06,2.41,710,3.47,10.513,5.22,7.516,14.096,25.379,5.2,83.6
Denmark,3.6,2.8,902,11.55,21.888,1.15,32.735,30.369,-16.009,1.9,87.8
Estonia,4.18,2.19,771,2.4,24.575,0.433,10.294,43.162,14.68,3.1,99.6
Finland,6.61,4.89,1084,5.09,32.166,4.387,27.216,43.973,48.859,1.4,99.8
France,3.93,2.38,701,7.33,12.671,6.577,14.815,16.16,48.645,5.7,89.1
Germany (until 1990 former territory of the FRG),3.85,2.73,781,7.52,11.667,6.413,18.241,12.055,59.992,5,93.2
Greece,2.45,1.71,420,7.22,10.077,1.915,12.307,18.658,68.584,15.4,94.7
Hungary,2.46,1.74,665,3.75,12.742,6.163,7.103,18.077,56.93,10.7,83.9
Iceland,17.39,8.3,1187,1.85,70.909,0.194,92.419,66.188,13.864,1.4,56
Ireland,3.23,2.61,784,11.01,5.755,2.491,15.642,4.281,87.484,6.8,90.9
Italy,2.82,2.17,597,8.96,13.023,4.916,20.091,15.642,82.571,11.6,92.1
Latvia,2.17,1.96,662,3.68,30.375,3.978,42.051,40.745,45.545,19.1,96
Lithuania,1.99,1.55,514,3.88,19.64,3.794,7.401,32.534,79.045,25.2,124.5
Luxembourg,9.09,8.54,1011,9.13,2.852,2.093,3.786,4.704,97.069,0.5,104.5
Malta,2.24,1.21,167,2.85,0.979,0,0.032,7.282,99.036,14.3,87.3
Netherlands,4.32,3.33,751,6.39,3.917,3.397,9.601,3.1,28.279,2.3,97.3
Norway,6.33,4,968,9.44,61.889,5.391,98.252,33.727,-512.833,0.7,85.8
Poland,2.54,1.74,578,3.56,9.281,6.64,6.549,11.812,31.569,14.8,93.3
Portugal,2.14,1.72,281,7.23,24.15,5.549,40.608,33.814,75.22,30.1,84.9
Romania,1.63,1.11,400,3.58,22.834,1.366,30.378,27.227,21.386,20.1,86.3
Slovakia,3.09,2.14,429,3.87,9.099,5.292,17.774,7.898,64.448,4.4,89.1
Slovenia,3.43,2.47,666,5,21.081,3.118,32.2,29.537,49.277,4.7,99.9
Spain,2.64,1.92,364,7.74,13.782,5.018,29.748,12.498,77,7.5,87.4
Sweden,5.15,3.62,883,7.15,46.099,9.627,55.767,57.07,37.99,2.1,91.1
United Kingdom,3.27,2.28,725,8.68,3.862,3.347,7.203,3.199,29.008,6.1,98.1
