Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.78,3.29,816,8.98,32.665,9.695,68.909,33.222,61.261,2.7,85.5
Belgium,4.35,3.28,817,5.97,7.671,5.088,12.547,7.639,77.777,5.8,88
Bulgaria,2.27,1.21,308,2.28,18.898,5.886,18.682,29.234,38.319,44.9,108.6
Croatia,1.88,1.54,586,5.18,28.04,2.715,42.077,37.308,47.434,9.9,93.7
Cyprus,2.53,1.88,356,7.21,8.428,1.127,6.654,22.537,96.071,30.5,100.8
Czechia,3.87,2.3,691,3.67,13.927,6.445,12.781,17.706,27.58,6.2,78.4
Denmark,3.17,2.51,799,13.19,27.173,6.456,43.084,34.679,12.306,3.8,82
Estonia,4.54,2.19,708,2.63,25.356,0.448,12.948,43.112,14.522,2.9,101.9
Finland,5.88,4.54,951,5.59,36.63,10.665,30.543,50.772,49.662,1.2,87.3
France,3.81,2.38,697,7.67,13.88,7.6,16.977,17.608,48.021,6.6,85.6
Germany (until 1990 former territory of the FRG),3.82,2.74,775,8.07,13.76,7.299,25.284,13.413,62.411,5.3,95.4
Greece,2.14,1.4,348,6.97,15.326,0.98,21.241,27.418,61.75,29.5,93.3
Hungary,2.27,1.68,628,4.27,16.205,6.341,6.6,23.699,50.122,14.6,79
Iceland,18.69,8.86,1233,1.84,73.788,2.039,96.719,65.893,13.505,1.4,45.8
Ireland,2.84,2.35,629,12.62,7.521,4.898,20.96,5.185,91.62,10,90.4
Italy,2.52,1.97,568,9.62,16.741,5.411,31.302,18.092,76.736,18.8,88
Latvia,2.17,1.92,630,4.27,37.037,4.029,48.685,49.651,55.883,21.1,84.7
Lithuania,1.96,1.62,496,4.5,22.689,4.835,13.149,36.873,75.556,29.2,111.9
Luxembourg,7.91,7.6,917,10.35,3.494,4.074,5.329,5.33,97.101,1.6,103
Malta,2.04,1.24,174,3.64,3.76,3.484,1.571,15.399,104.139,23.9,87.8
Netherlands,3.94,3.09,679,6.96,4.691,5.343,9.911,4.002,23.739,2.9,95.8
Norway,6.09,3.76,884,9.87,66.48,3.19,106.917,32.758,-471.431,0.9,82.5
Poland,2.46,1.66,539,3.94,11.452,6.666,10.676,14.265,26.254,11.4,92.6
Portugal,2.01,1.51,252,7.29,25.7,0.925,49.101,34.628,73.347,27.9,84.2
Romania,1.52,1.09,386,4.24,23.886,5.445,37.516,26.195,18.317,14.7,93.1
Slovakia,2.9,1.96,397,4.28,10.133,6.212,20.8,7.875,60.825,5.4,85.1
Slovenia,3.23,2.34,602,5.16,23.161,3.769,33.081,35.116,47.461,4.9,97.5
Spain,2.48,1.74,319,7.95,15.081,0.95,36.027,13.967,69.985,8,84.7
Sweden,4.84,3.34,801,7.55,50.153,15.315,61.737,61.708,32.79,0.9,77.3
United Kingdom,2.99,2.13,646,9.76,5.524,1.807,13.503,4.718,47.758,10.6,97.6
