Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.76,3.23,792,9.09,32.734,10.031,67.439,33.077,63.782,3.2,86.2
Belgium,4.23,3.18,765,6.16,7.086,4.915,11.338,7.108,76.564,6.6,91.8
Bulgaria,2.44,1.26,322,2.13,15.837,0.65,15.816,27.241,36.853,46.5,115
Croatia,1.92,1.56,600,5.1,26.757,1.049,38.764,36.554,49.862,10.2,95.8
Cyprus,2.89,2.05,407,6.88,7.111,0,4.927,21.764,96.748,30.7,101.3
Czechia,3.84,2.32,677,3.69,12.814,6.249,11.667,16.249,25.413,6.7,83.1
Denmark,3.19,2.56,795,13.18,25.465,6.278,38.716,33.201,-2.815,2.5,78.5
Estonia,4.1,2.19,734,2.87,25.586,0.451,15.67,43.218,20.647,4.2,102.7
Finland,6.09,4.65,1008,5.55,34.222,1.049,29.11,48.23,47.109,1.5,84.9
France,3.81,2.35,668,7.66,13.239,7.415,16.548,16.589,48.204,6,86
Germany (until 1990 former territory of the FRG),3.74,2.68,736,8.21,13.549,7.322,23.605,13.423,61.215,4.7,95.4
Greece,2.4,1.54,461,6.34,13.741,0.903,16.364,24.122,65.889,26.1,93.4
Hungary,2.33,1.66,643,4.05,15.53,5.998,6.057,23.313,50.146,15,80.8
Iceland,18.05,8.57,1249,1.82,73.727,1.338,95.422,68.75,13.694,1.5,48.9
Ireland,2.98,2.34,649,11.95,7.029,4.044,19.838,4.849,83.709,8.4,89.3
Italy,2.63,2.05,577,9.43,15.441,6.155,27.42,16.984,79.109,21.3,92.1
Latvia,2.18,1.98,677,4.12,35.709,3.995,44.877,47.265,56.388,19.9,84.3
Lithuania,2,1.64,514,4.1,21.437,4.973,10.876,34.535,77.534,34.1,111.4
Luxembourg,8.32,7.85,923,9.76,3.112,2.827,4.66,4.932,97.51,0.6,105.6
Malta,2.31,1.21,172,3.29,2.862,3.216,1.115,13.397,100.973,22.1,89.3
Netherlands,3.98,3.09,649,6.8,4.659,5.217,10.35,3.768,30.635,2.2,94.2
Norway,5.8,3.81,903,10.34,64.932,3.007,104.599,33.968,-535.087,0.7,87.8
Poland,2.44,1.69,547,3.93,10.955,6.533,10.61,13.497,31.628,13.2,94.3
Portugal,2,1.52,256,7.38,24.574,0.807,47.505,33.153,79.461,27,88.5
Romania,1.66,1.13,402,3.73,22.825,4.962,33.567,25.745,22.463,15,93.5
Slovakia,2.88,1.91,383,4.31,10.453,5.596,20.054,8.803,61.625,5.5,86.9
Slovenia,3.32,2.39,610,5.09,21.551,3.252,31.637,33.146,51.813,6.1,99.6
Spain,2.63,1.79,332,7.51,14.239,0.869,33.438,13.969,72.787,9.1,87.6
Sweden,4.98,3.42,846,7.34,49.403,13.777,59.779,60.635,30.164,1.7,79.1
United Kingdom,3.06,2.13,643,9.4,4.461,1.69,10.506,3.894,43.387,8.1,98.6
