Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.81,3.24,781,9,31.552,10.077,66.779,31.517,69.976,2.7,89.3
Belgium,4.48,3.19,726,5.83,6.302,4.802,8.989,6.718,76.463,7.1,88.9
Bulgaria,2.53,1.26,323,2.03,14.152,0.898,12.621,24.768,36.732,46.3,121.6
Croatia,2.02,1.63,617,4.91,25.389,1.029,37.592,33.82,49.639,9.8,97.4
Cyprus,3.11,2.26,419,6.7,6.245,0,3.446,19.977,92.263,26.6,101.6
Czechia,3.89,2.33,654,3.68,10.945,1.285,10.61,15.388,28.831,6.4,85.3
Denmark,3.33,2.66,807,12.55,23.389,3.609,35.874,31.889,-5.965,2.3,84.2
Estonia,4.22,2.15,705,2.66,25.515,0.445,12.199,44.55,13.646,3,102.1
Finland,6.35,4.64,945,5.41,32.532,1.004,28.964,45.732,53.914,1.8,90.9
France,3.82,2.29,609,7.64,10.813,0.987,16.18,15.263,49.052,6,85
Germany (until 1990 former territory of the FRG),3.71,2.64,698,8.24,12.47,6.461,20.93,12.607,61.801,5.2,95.4
Greece,2.4,1.7,498,6.65,11.153,0.6,13.81,20.111,64.677,18.6,96.3
Hungary,2.45,1.75,659,3.9,13.972,6.174,6.379,20.043,50.273,12.2,82.3
Iceland,18.56,8.34,1162,1.76,72.298,0.872,93.915,68.1,13.39,2,49.1
Ireland,2.96,2.41,684,12.1,6.605,3.844,18.252,4.657,90.352,6.8,90.1
Italy,2.73,2.07,545,9.34,12.881,5.06,23.547,13.818,81.353,17.8,92.3
Latvia,2.08,1.88,644,4.01,33.478,4.09,44.694,44.71,59.863,22.5,91.2
Lithuania,1.95,1.58,506,3.97,19.943,3.828,9.02,32.788,78.604,36.2,112.2
Luxembourg,8.74,8.28,921,9.38,2.855,2.36,4.075,4.736,97.293,0.9,105.1
Malta,2.23,1.18,165,3.02,1.85,2.016,0.454,12.026,101.3,17.6,87.3
Netherlands,4.02,3.1,616,6.8,4.524,5.068,9.74,3.688,29.357,1.6,96.2
Norway,5.31,3.81,864,11.08,64.638,2.683,105.887,34.671,-576.101,1.2,97.8
Poland,2.54,1.7,529,3.73,10.337,6.918,8.078,13.24,34.02,13.6,92.3
Portugal,2.08,1.64,263,7.26,24.603,0.695,45.78,35.184,77.792,26.8,85.9
Romania,1.66,1.13,390,3.58,21.743,5.535,31.131,24.306,21.14,15.6,92.6
Slovakia,2.96,2,393,4.09,10.348,5.727,19.305,9.258,65.933,4.3,90.2
Slovenia,3.46,2.46,635,5.04,20.937,2.477,31.045,31.785,48.329,5.4,99.5
Spain,2.62,1.86,334,7.7,13.176,0.767,31.53,13.469,76.001,6.5,88.6
Sweden,5.03,3.44,813,7.36,47.632,11.938,59.624,58.519,36.476,1.9,83.3
United Kingdom,3,2.09,597,9.44,4.392,3.235,8.607,3.673,36.942,6.5,96.9
