Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.63,3.19,752,9.73,33.755,10.051,75.067,33.929,71.623,1.8,83.7
Belgium,4.21,3.11,684,6.45,9.929,6.817,20.817,8.319,77.592,3.9,85.6
Bulgaria,2.61,1.41,310,2.45,21.546,7.893,23.509,35.424,38.104,30.1,97.1
Croatia,2.02,1.7,550,5.86,28.466,5.855,49.783,36.792,56.216,6.6,86.6
Cyprus,2.88,2.14,411,7.71,13.777,3.316,9.756,35.051,92.792,21,95
Czechia,3.72,2.37,652,4.59,16.239,7.841,14.047,22.632,40.822,2.8,73.7
Denmark,2.89,2.46,755,15.91,37.02,7.11,65.348,47.302,38.698,2.8,63.2
Estonia,3.55,2.19,717,4.13,31.73,6.243,21.998,52.193,4.838,2.5,79.8
Finland,5.8,4.58,1020,5.94,42.723,14.317,37.969,56.884,42.105,1.8,69.7
France,3.5,2.16,589,8.9,17.174,9.248,22.389,22.36,47.556,6.2,79.5
Germany (until 1990 former territory of the FRG),3.43,2.58,695,9.66,17.266,7.63,40.604,14.504,67.055,2.5,86.5
Greece,2.08,1.51,384,7.31,19.633,4.049,31.295,30.048,74.11,17.9,74.9
Hungary,2.51,1.9,581,4.86,12.634,8.057,9.969,18.16,69.712,5.4,77.3
Iceland,17.2,9.01,1259,2.21,78.612,9.292,100.64,80.896,16.106,1.0,44.8
Ireland,2.98,2.51,584,19.59,11.979,8.917,36.46,6.344,68.7,4.9,79.5
Italy,2.44,1.93,521,10.28,18.181,9.047,34.969,19.699,77.484,11.1,82.2
Latvia,2.38,2.13,621,4.85,40.929,4.554,53.423,57.749,43.913,8,83.8
Lithuania,2.25,1.99,518,4.91,25.475,4.049,18.79,47.372,75.202,26.7,102.6
Luxembourg,7.26,7.08,744,11.63,7.046,7.707,10.863,8.687,95.044,2.4,92.3
Malta,1.73,1.39,205,3.63,8.23,8.902,7.485,23.602,97.278,7.8,58.8
Netherlands,3.66,2.86,545,8.32,8.886,12.326,18.23,7.217,64.304,3,92.4
Norway,4.84,3.61,854,12.62,74.406,25.668,110.445,35.384,-567.279,1,87.9
Poland,2.64,1.94,553,4.7,15.377,6.2,14.356,22.005,45.237,4.2,84.2
Portugal,2.14,1.67,281,7.73,30.623,9.089,53.774,41.657,73.86,18.9,78.7
Romania,1.66,1.23,400,5.31,24.29,7.846,42.616,25.739,30.282,9.3,85.4
Slovakia,2.93,2.05,485,5.09,16.894,8.308,22.103,19.696,69.762,7.8,77.7
Slovenia,3.12,2.32,506,6.26,21.968,7.983,32.632,32.132,52.116,2.3,89.8
Spain,2.56,1.83,307,8.85,17.852,7.61,37.131,17.203,75.018,7.5,79.7
Sweden,4.45,3.07,716,8.77,55.785,30.309,71.234,64.394,30.044,1.9,68.2
United Kingdom,2.61,2.01,571,11.88,12.336,8.856,34.769,7.837,34.829,5.4,81.8
