Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.66,3.18,767,9.24,33.498,11.409,71.487,33.231,60.371,2.6,83.3
Belgium,4.05,3.19,730,6.51,8.06,3.921,15.573,7.942,84.146,5.2,90.7
Bulgaria,2.5,1.32,306,2.18,18.261,6.492,18.975,28.904,36.446,39.2,111.6
Croatia,1.89,1.57,577,5.33,28.969,2.361,45.409,38.62,48.786,9.9,90.4
Cyprus,2.68,1.97,385,7.02,9.903,2.521,8.446,24.066,97.319,28.3,101.1
Czechia,3.74,2.29,642,4.08,15.07,6.537,14.072,19.787,32.089,5,79.4
Denmark,2.96,2.49,782,14.38,30.469,6.432,51.292,39.536,13.06,3.6,72.9
Estonia,4.06,2.13,652,3.38,28.987,0.413,16.152,50.031,11.181,2,101.8
Finland,5.69,4.42,904,5.73,39.228,24.562,32.207,52.618,47.947,1.7,75.8
France,3.67,2.23,600,8.02,14.803,8.366,18.821,18.879,45.933,5.5,80.6
Germany (until 1990 former territory of the FRG),3.62,2.6,673,8.7,14.906,6.569,30.882,13.44,62.132,4.1,94.9
Greece,2.16,1.53,412,7.07,15.69,1.1,22.089,26.557,71.047,29.2,85.2
Hungary,2.37,1.77,607,4.38,14.495,7.169,7.341,21.335,53.875,9.6,78.5
Iceland,17.53,9.28,1186,2.02,71.949,6.095,93.11,69.196,16.418,1.4,48.6
Ireland,2.98,2.41,594,16.18,9.083,5.942,25.725,6.184,88.778,9,87.4
Italy,2.46,1.91,535,9.88,17.526,6.505,33.459,19.255,77.03,17,87.5
Latvia,2.16,1.92,559,4.59,37.538,3.639,52.205,51.738,51.179,14.5,85.6
Lithuania,1.99,1.67,468,4.65,25.748,4.582,15.543,46.081,75.452,31.1,105.3
Luxembourg,7.27,7,893,11.29,4.987,6.7,6.197,6.858,95.965,0.9,96.5
Malta,1.69,1.3,179,3.87,5.119,4.679,4.312,14.639,97.296,14.1,72.7
Netherlands,3.77,2.88,564,7.45,5.714,5.597,11.04,5.278,49.051,2.9,99
Norway,5.21,3.64,847,11.48,68.545,7.71,106.83,32.674,-575.178,0.5,92.3
Poland,2.37,1.64,501,4.36,11.881,5.686,13.401,14.795,29.848,7.5,92.3
Portugal,2.09,1.54,266,7.11,30.514,7.431,52.616,40.1,76.293,23.8,86.9
Romania,1.55,1.1,372,4.53,24.785,5.488,43.161,25.886,16.687,13.1,93.3
Slovakia,2.81,1.85,366,4.77,12.883,8.631,22.656,10.791,60.102,5.8,82.6
Slovenia,3.07,2.28,565,5.66,22.879,2.242,32.722,36.15,49.304,5.6,91.2
Spain,2.54,1.73,329,8.21,16.221,1.088,36.972,16.851,72.728,10.6,88.5
Sweden,4.47,3.25,756,8.54,52.22,21.49,65.733,63.235,30.061,1.2,79.1
United Kingdom,2.8,2.04,572,10.69,8.385,4.52,21.874,6.243,37.638,7.8,89.5
