Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.6,3.13,730,9.37,33.55,10.984,71.059,33.375,65.62,3.2,82.6
Belgium,4.04,3.07,665,6.43,8.038,5.845,13.414,7.751,80.102,5.4,86.5
Bulgaria,2.39,1.24,300,2.2,18.05,5.742,18.686,28.519,35.172,40.5,109.8
Croatia,1.79,1.47,526,5.42,27.817,2.652,45.241,36.219,44.206,9.7,93
Cyprus,2.6,1.9,345,6.97,9.144,2.68,7.399,22.186,93.086,27.5,101.5
Czechia,3.7,2.24,623,3.88,15.074,6.997,13.89,19.528,30.227,6.1,78.6
Denmark,3,2.42,735,14.02,29.31,6.556,48.493,38.014,12.202,2.9,77.4
Estonia,4.34,2.15,676,2.89,26.13,0.418,14.017,44.934,11.562,1.7,104.2
Finland,5.98,4.49,939,5.45,38.632,24.12,31.114,51.955,49.935,1.5,78.7
France,3.62,2.19,570,8.06,14.362,8.249,18.465,18.047,46.243,5.9,80.4
Germany (until 1990 former territory of the FRG),3.63,2.59,662,8.62,14.385,6.9,28.172,13.416,61.779,4.9,94.7
Greece,2.14,1.43,353,7.09,15.683,1.326,21.923,27.87,65.455,32.9,89.5
Hungary,2.23,1.64,556,4.47,14.618,7.001,7.305,21.283,59.845,11.6,78.2
Iceland,18.48,8.95,1175,1.87,73.043,2.256,97.063,67.025,13.955,1.8,46.1
Ireland,2.85,2.34,563,13.63,8.516,5.204,23.32,6.261,86.15,8.9,88.2
Italy,2.35,1.86,486,10.18,17.082,5.02,33.42,18.914,75.811,18,87.9
Latvia,2.19,1.95,621,4.37,38.629,4.075,51.037,52.15,40.592,16.8,82.9
Lithuania,1.96,1.66,478,4.68,23.592,4.355,13.705,40.628,74.935,26.5,107.5
Luxembourg,7.53,7.19,841,10.92,4.471,5.551,5.959,7.07,96.63,0.6,100.7
Malta,2.05,1.27,170,3.83,4.744,4.667,3.333,15.028,97.657,22.3,86.9
Netherlands,3.7,2.82,541,7.4,5.415,6.563,9.924,4.925,30.948,2.6,96.6
Norway,5.16,3.64,822,11.55,68.406,6.156,110.135,30.907,-558.85,0.6,94.1
Poland,2.35,1.62,501,4.23,11.605,6.319,12.36,14.237,29.415,9,92.2
Portugal,1.99,1.52,267,7.25,29.508,3.667,52.054,40.454,70.234,28.3,82
Romania,1.51,1.09,372,4.43,24.845,4.675,41.679,26.739,16.663,12.9,93.2
Slovakia,2.74,1.84,360,4.68,11.713,7.951,22.87,8.865,62.135,6.1,83.2
Slovenia,3.1,2.24,514,5.49,22.459,2.876,33.935,34.641,45.187,5.6,89.5
Spain,2.45,1.71,318,8.18,15.88,1.024,37.128,15.557,72.545,11.1,86.4
Sweden,4.74,3.22,746,7.82,51.151,18.831,63.214,62.566,32.335,1.1,74.9
United Kingdom,2.8,2.01,554,10.62,6.737,1.906,17.457,5.471,46.773,9.4,94.6
