Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.33,2.92,749,9.79,36.545,10.283,78.204,34.995,58.324,1.5,83.7
Belgium,3.8,2.88,687,6.77,13,11.035,25.122,8.447,78.055,4.1,85.6
Bulgaria,2.48,1.38,344,2.47,23.319,9.101,23.586,37.178,37.882,27.5,97.1
Croatia,1.92,1.6,563,5.7,31.023,6.593,53.816,36.928,53.589,5.7,86.6
Cyprus,2.47,1.76,409,8.28,16.879,7.401,12.041,37.117,93.077,20.9,95
Czechia,3.5,2.29,668,4.61,17.303,9.383,14.81,23.535,38.898,2.2,73.7
Denmark,2.63,2.26,741,17.07,31.648,9.574,65.323,51.073,44.856,3,63.2
Estonia,3.24,2.09,711,4.18,30.069,12.165,28.293,58.834,10.524,2.7,79.8
Finland,5.39,4.21,957,6.15,43.802,13.438,39.564,57.622,42.024,1.8,69.7
France,3.09,1.93,575,9.24,19.109,9.207,24.819,23.369,44.463,6.5,79.5
Germany (until 1990 former territory of the FRG),3.16,2.42,697,9.97,19.312,9.918,44.696,14.807,63.672,9,86.5
Greece,1.84,1.34,401,7.7,21.749,5.341,35.856,31.941,81.784,16.7,74.9
Hungary,2.45,1.85,612,4.73,13.85,11.571,11.904,17.72,56.628,4.2,77.3
Iceland,15.83,8.08,1316,2.19,83.725,11.959,102.709,80.505,12.156,1,44.8
Ireland,2.69,2.24,627,22.61,16.16,10.187,39.055,6.264,71.302,4.2,79.5
Italy,2.23,1.73,516,10.28,20.359,10.736,38.081,19.949,73.454,11.1,82.2
Latvia,2.24,2.03,587,5.06,42.132,6.733,53.357,57.094,45.481,6,83.8
Lithuania,2.23,1.9,513,5.02,26.773,5.511,20.166,50.35,74.909,23.1,102.6
Luxembourg,6.25,6.04,786,13.09,11.699,12.581,13.887,12.614,92.458,3.6,92.3
Malta,1.44,1.05,204,3.57,10.714,10.586,9.489,23.027,97.56,7.2,58.8
Netherlands,3.35,2.61,534,8.36,13.999,12.631,26.407,8.053,68.068,2.4,92.4
Norway,4.65,3.42,824,12.82,77.358,28.69,113.802,36.126,-623.059,0.8,87.9
Poland,2.55,1.87,557,4.72,16.102,6.575,16.237,22.144,42.76,3.2,84.2
Portugal,1.9,1.46,293,7.97,33.982,9.701,58.033,41.546,65.261,17.5,78.7
Romania,1.61,1.22,416,5.27,24.478,8.54,43.374,25.327,28.201,10,85.4
Slovakia,2.78,1.89,503,5.04,17.345,9.259,23.066,19.427,56.301,5.7,77.7
Slovenia,2.92,2.09,510,6.44,25,10.911,35.095,32.141,45.801,2.8,89.8
Spain,2.22,1.56,307,8.96,21.22,9.528,42.944,17.966,67.89,10.9,79.7
Sweden,4.04,2.99,695,9.22,60.124,31.854,74.495,66.381,33.511,2.7,68.2
United Kingdom,2.61,2.01,571,11.88,12.336,8.856,34.769,7.837,34.829,5.4,81.8
