Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.67,3.21,791,9.3,33.37,10.583,72.521,33.48,62.099,2.7,84
Belgium,4.28,3.21,730,6.21,8.744,6.029,15.834,8.247,75.89,4.8,84.7
Bulgaria,2.48,1.35,316,2.29,18.76,7.203,19.147,29.99,38.472,39.2,106.3
Croatia,1.93,1.59,577,5.46,28.266,1.218,46.667,37.636,48.43,9.3,91.7
Cyprus,2.84,2.08,394,6.91,9.833,2.671,8.587,24.69,95.841,24.3,100.4
Czechia,3.76,2.35,671,4.23,14.926,6.496,13.615,19.879,32.8,3.8,81.2
Denmark,3.02,2.53,801,14.53,31.715,6.732,53.717,41.078,13.529,2.7,74.2
Estonia,4.48,2.16,707,2.85,29.232,0.431,16.194,51.765,8.069,2.7,91
Finland,5.86,4.58,972,5.69,38.942,8.814,32.716,53.704,46.166,1.7,78.1
France,3.6,2.25,627,8.26,15.451,8.405,19.209,20.12,47.399,5,83.1
Germany (until 1990 former territory of the FRG),3.61,2.63,692,8.83,14.889,7.013,32.273,13.039,63.752,3.7,94.7
Greece,2.14,1.56,404,7.17,15.391,1.624,22.658,25.422,72.911,29.1,81.6
Hungary,2.41,1.81,629,4.42,14.377,7.768,7.292,21.027,55.823,9.2,79
Iceland,16.37,9.27,1262,2.22,75.329,6.297,95.31,78.245,18.981,1.6,49.8
Ireland,3.09,2.47,603,15.69,9.189,5.159,27.069,6.243,69.079,5.9,86
Italy,2.44,1.91,531,10.08,17.415,7.414,34.012,18.887,77.653,16.1,87.5
Latvia,2.19,1.95,584,4.63,37.138,2.449,51.251,51.812,47.152,10.6,86.2
Lithuania,2.11,1.78,500,4.6,25.613,3.649,16.872,46.563,74.784,29.3,106
Luxembourg,7.13,6.94,901,11.82,5.364,5.965,6.674,7.058,96.294,1.7,93.2
Malta,1.56,1.27,170,3.7,6.208,5.269,5.714,16.855,101.076,6.6,62
Netherlands,3.81,2.92,578,7.53,5.846,4.761,12.55,5.192,45.958,2.6,97.2
Norway,4.97,3.66,853,12.09,69.235,13.763,105.638,32.346,-610.695,0.9,93.8
Poland,2.5,1.75,524,4.29,11.396,3.974,13.342,14.919,30.76,7.1,91
Portugal,2.11,1.57,273,7.23,30.864,7.647,53.99,41.615,72.241,22.5,85.1
Romania,1.56,1.13,376,4.75,25.032,6.169,42.712,26.865,21.901,13.8,90
Slovakia,2.83,1.92,374,4.83,12.029,7.765,22.513,9.879,60.551,5.1,82.7
Slovenia,3.17,2.36,575,5.61,21.975,1.601,32.056,35.563,49.017,4.8,93.9
Spain,2.55,1.77,308,8.4,17.015,5.167,36.676,15.898,71.473,10.1,84.1
Sweden,4.57,3.25,772,8.33,52.597,26.56,64.869,63.412,33.301,2.6,74.1
United Kingdom,2.73,2.04,579,11.01,9.032,5.025,24.294,6.644,35.639,6.1,86
