Ai,Weighted Spearman,r2
60 samples MLP,0.9999996778817593,0.9876775928059593
60 samples LR,0.9999996248757425,0.9856510321952525
30 samples MLP,0.9999965475322155,0.9797751476860151
30 samples LR,0.9999955834710254,0.9741464661178247
